TIME		PLN-0														OBJ-0			
TICK:	DUR:	X:	Y:	ALT:	SPD:	ACCEL:	VSPD:	THRTL:	HDG:	VHDG:	CR:	ROLL:	VCR:	PTS:	DMG:	X:	Y:	ALT:	
13024	16	362.1	257.9	2557	498.9	0.2	320.7	100.0	-178.6	40.0	0.00	0.00	4.00	1	0.0	345	480	2564	
13313	15	361.6	278.8	2570	499.5	0.1	98.4	100.0	-178.6	11.4	0.00	0.00	1.14	1	0.0	345	480	2564	
13602	15	361.0	303.3	2567	499.8	0.0	-141.5	100.0	-178.6	-16.4	0.00	0.00	-1.64	1	0.0	345	480	2564	
13890	16	360.4	326.9	2563	435.7	-18.9	-9.0	53.5	-178.6	-1.2	0.00	0.00	-0.12	1	0.0	345	480	2564	
14182	15	360.0	346.7	2563	362.1	-11.0	0.0	50.1	-178.6	0.0	0.00	0.00	0.00	1	0.0	345	480	2564	
14471	16	359.6	363.6	2564	319.9	-6.4	2.8	50.0	-178.6	0.5	0.00	0.00	0.05	1	0.0	345	480	2564	
14765	14	359.2	378.9	2564	294.8	-3.9	0.0	50.0	-178.6	0.0	0.00	0.00	0.00	1	0.0	345	480	2564	
15053	16	358.8	393.2	2564	279.2	-2.5	0.0	50.0	-178.6	0.0	0.00	0.00	0.00	1	0.0	345	480	2564	
15340	15	358.5	406.9	2564	269.2	-1.6	0.0	50.0	-178.6	0.0	0.00	0.00	0.00	1	0.0	345	480	2564	
15631	15	358.2	420.2	2564	262.7	-1.0	0.0	50.0	-178.6	0.0	0.13	0.61	0.00	2	0.0	100	264	2538	
15920	15	353.7	431.8	2563	258.4	-0.7	-35.3	50.0	-129.9	-7.9	2.20	12.32	-0.79	2	0.0	100	264	2538	
16213	16	341.8	433.7	2561	255.6	-0.5	-34.9	50.0	-68.4	-7.9	2.20	12.32	-0.79	2	0.0	100	264	2538	
16504	13	331.9	425.8	2560	253.8	-0.3	-1.7	50.0	-45.3	-0.4	0.11	0.51	-0.04	2	0.0	100	264	2538	
16797	15	323.0	416.9	2560	252.5	-0.2	0.0	50.0	-45.8	0.0	-0.26	-1.24	0.00	2	0.0	100	264	2538	
